trainer_name,t_starts,t_first,t_second,t_third,t_total_win_amt,t_win_perc,t_top_3
Ryan Hanson,4,0,1,1,9490,0,0.5
Sal Gonzalez,7,0,0,0,3325,0,0
Salvador Orozco,1,0,0,0,345,0,0
Santos Perez,1,0,0,0,345,0,0
Scott Hansen,3,0,0,1,4045,0,0.33
Scott Rollins,2,0,0,0,2145,0,0
Sean McCarthy,6,1,0,0,38925,0.17,0.17
Simon Callaghan,11,2,2,1,111165,0.18,0.45
Steve Knapp,13,1,2,1,29790,0.08,0.31
Steven Miyadi,7,1,0,1,20275,0.14,0.29
Thomas Proctor,4,1,0,2,55224,0.25,0.75
Thomas Bell,4,0,1,0,7035,0,0.25
Tim McCanna,9,1,2,1,77880,0.11,0.44
Tim Yakteen,7,0,1,1,17917,0,0.29
Todd W. Fincher,6,0,0,1,7080,0,0.17
Val Brinkerhoff,9,3,0,0,108015,0.33,0.33
Vann Belvoir,4,0,0,0,1435,0,0
Victor Garcia,8,1,0,1,25320,0.13,0.25
Victoria Oliver,3,0,1,0,16065,0,0.33
Vladimir Cerin,17,2,2,3,122669,0.12,0.41
Wesley Ward,2,0,0,0,2345,0,0
William Morey,15,5,1,2,199665,0.33,0.53
William Spawr,8,1,1,2,40252,0.13,0.5
J Vargas,2,0,0,0,745,0,0
