,distance,age,jockey,trainer,speed_rating,odds,pp_start,speed1,speed2,speedf,pp_finish
0,600.0,3,1811,2161,85,3.1,6,58.89,57.34,55.05,2
1,600.0,3,122644,1709,80,28.0,7,57.71,56.62,54.8,3
2,600.0,4,142413,953963,75,20.7,3,57.75,56.36,54.54,5
3,600.0,3,74725,3462,77,3.6,5,58.5,56.99,54.69,4
4,600.0,3,122587,531,65,7.4,2,58.46,56.73,54.07,6
5,600.0,4,135108,1828,49,14.2,1,58.93,56.64,53.23,7
6,600.0,3,163211,38601,94,1.1,4,58.86,57.35,55.53,1
7,650.0,4,160005,804,69,4.2,7,57.61,56.54,53.87,8
8,650.0,3,161943,135700,82,46.2,8,56.39,55.85,54.51,2
9,650.0,3,1339,149624,73,4.6,6,57.72,56.9,54.07,6
10,650.0,3,123440,954913,88,3.3,4,57.89,56.92,54.8,1
11,650.0,6,121108,2091,71,5.4,5,57.68,56.89,53.94,7
12,650.0,4,99161,1162,79,19.2,2,57.09,56.28,54.36,3
13,650.0,3,9631,2926,76,11.9,3,56.35,55.68,54.19,5
14,650.0,6,163211,197412,79,2.5,1,57.65,56.8,54.35,4
15,650.0,7,163211,947429,93,17.3,6,57.65,57.77,55.21,7
16,650.0,5,102032,199159,99,13.9,7,57.44,57.75,55.53,5
17,650.0,5,114312,1257,106,3.6,4,58.25,58.23,55.87,3
18,650.0,5,1452,257611,104,12.0,5,58.01,58.05,55.77,4
19,650.0,5,502,298,106,5.7,1,57.62,57.66,55.88,2
20,650.0,5,3752,1626,107,1.2,3,58.22,58.03,55.93,1
21,650.0,3,137099,835,96,4.8,2,58.18,57.94,55.37,6
22,800.0,5,74725,3462,103,12.9,5,55.05,55.36,55.53,2
23,800.0,6,16787,1626,96,8.3,6,56.11,55.61,55.2,8
24,800.0,4,15722,234680,103,21.3,4,55.74,55.53,55.53,3
25,800.0,5,163211,835,94,32.3,8,53.99,55.07,55.09,9
26,800.0,5,153873,37522,97,53.9,10,54.02,55.09,55.26,7
27,800.0,4,137099,835,106,0.7,7,55.77,55.63,55.72,1
28,800.0,6,152588,1127,98,9.1,1,56.63,55.88,55.31,5
29,800.0,5,122644,277836,92,7.1,2,56.28,55.8,54.97,10
30,800.0,5,1811,531,102,16.2,3,53.3,54.65,55.48,4
31,800.0,5,102032,1902,98,19.3,9,54.53,55.11,55.27,6
32,500.0,2,163211,94,64,19.7,9,56.65,54.48,54.75,5
33,500.0,2,114312,26392,52,1.3,2,60.19,57.09,54.13,7
34,500.0,2,102369,963516,78,2.6,3,60.16,57.11,55.46,3
35,500.0,2,162748,1257,78,7.3,1,59.61,56.92,55.45,4
36,500.0,2,142413,6363,49,14.8,6,57.75,55.17,53.99,8
37,500.0,2,137099,6363,80,11.5,5,57.78,55.51,55.58,1
38,500.0,2,502,15262,47,29.0,4,55.92,53.87,53.89,9
39,500.0,2,121108,15262,52,62.1,8,55.56,53.96,54.14,6
40,500.0,2,74725,1078,78,6.4,7,57.2,55.53,55.48,2
41,800.0,4,1339,94,93,9.1,1,57.47,56.76,55.02,7
42,800.0,5,3752,3794,93,21.0,3,53.53,55.37,54.98,8
43,800.0,4,74725,2194,100,7.8,4,56.14,55.88,55.33,2
44,800.0,4,137099,94,98,2.0,2,57.12,56.5,55.26,5
45,800.0,4,102032,489,99,3.5,5,56.73,56.16,55.31,3
46,800.0,4,1811,298,99,16.5,12,55.1,55.63,55.31,4
47,800.0,4,152588,1150,93,25.1,6,56.7,56.33,54.98,9
48,800.0,5,122644,190204,90,46.6,10,54.4,55.45,54.85,10
49,800.0,4,153873,199159,101,10.9,11,55.45,55.71,55.4,1
50,800.0,4,15722,207791,86,79.2,8,56.18,56.06,54.66,11
51,800.0,4,502,37522,98,6.0,9,55.97,56.07,55.26,6
52,800.0,4,160005,241686,77,44.3,7,57.08,56.68,54.2,12
53,850.0,4,152588,1626,118,1.3,5,57.22,55.93,54.49,1
54,850.0,5,122644,83,107,2.6,3,56.87,55.85,53.96,2
55,850.0,4,160773,94,104,6.0,1,56.7,55.68,53.81,4
56,850.0,4,137099,83,105,2.9,2,56.0,55.32,53.83,3
57,850.0,5,1452,257611,57,10.2,4,55.83,55.66,51.48,5
58,800.0,3,122644,277836,92,8.6,2,57.21,55.74,54.97,12
59,800.0,3,502,94,104,2.5,1,57.59,56.08,55.6,3
60,800.0,3,135108,94,103,28.2,5,56.68,55.48,55.52,5
61,800.0,3,1770,277836,98,6.6,9,57.24,55.91,55.28,9
62,800.0,3,160005,531,103,72.9,10,56.33,55.23,55.53,4
63,800.0,3,102032,94,95,46.9,4,57.03,55.66,55.11,11
64,800.0,3,152588,137497,101,10.1,13,54.9,54.37,55.42,6
