,distance,age,jockey,trainer,speed_rating,odds,pp_start,speed1,speed2,speedf,pp_finish
65,800.0,3,137099,272182,100,8.5,11,55.28,54.63,55.38,7
66,800.0,3,74725,1257,105,5.9,3,57.77,56.34,55.64,1
67,800.0,3,16787,37522,90,44.2,12,55.25,54.55,54.86,13
68,800.0,3,1811,954913,96,30.2,6,55.81,55.14,55.16,10
69,800.0,3,3752,26392,100,25.9,8,55.63,54.8,55.37,8
70,800.0,3,1339,199159,105,5.0,7,56.16,55.06,55.61,2
71,500.0,2,160773,245408,38,65.6,2,57.23,55.03,53.59,10
72,500.0,2,74725,199159,80,17.8,1,58.52,57.11,55.76,3
73,500.0,2,99161,963516,60,16.7,10,56.63,55.29,54.72,9
74,500.0,2,163211,835,86,4.8,6,57.06,55.98,56.06,2
75,500.0,2,3752,15262,66,24.3,4,56.98,55.72,55.01,6
76,500.0,2,135108,298,64,43.8,7,57.02,55.9,54.93,8
77,500.0,2,502,15262,80,5.1,3,57.99,56.94,55.72,4
78,500.0,2,102032,6363,64,11.2,9,57.95,56.68,54.94,7
79,500.0,2,142413,6363,75,27.1,5,59.06,57.37,55.49,5
80,500.0,2,152588,835,91,0.8,8,58.88,57.39,56.3,1
81,850.0,3,152588,1493,93,3.7,3,56.77,55.58,54.4,3
82,850.0,4,121108,622,83,80.2,8,52.96,53.37,53.87,9
83,850.0,3,134563,126922,91,62.6,9,55.73,55.07,54.26,6
84,850.0,4,122587,1271,80,11.8,2,56.95,55.6,53.74,10
85,850.0,3,74725,1150,91,14.0,7,54.18,54.05,54.3,5
86,850.0,3,163211,38392,86,45.4,6,54.87,54.38,54.05,8
87,850.0,3,137099,1150,92,4.9,10,56.25,55.06,54.34,4
88,850.0,3,102032,277836,98,2.8,5,55.21,54.72,54.64,1
89,850.0,3,1339,164120,96,4.2,1,57.12,55.61,54.53,2
90,850.0,3,160773,3462,0,19.5,11,57.12,55.61,54.64,11
91,850.0,3,122644,272182,87,8.1,4,56.43,55.24,54.07,7
