,distance,age,jockey,trainer,speed_rating,odds,pp_start,speed1,speed2,speedf,pp_finish
48,900.0,3,135108,489,108,2.8,9,55.42,55.05,55.2,1
49,900.0,3,102369,233841,91,67.1,3,56.65,54.96,54.31,11
50,900.0,3,502,277836,105,3.6,11,54.04,54.41,55.03,4
51,900.0,3,142413,3462,101,47.8,12,53.18,53.81,54.84,6
52,900.0,3,137099,272182,97,2.2,2,54.39,54.43,54.64,8
53,900.0,3,163211,835,100,23.4,5,54.21,54.33,54.75,7
54,900.0,3,3752,281368,92,28.5,8,55.45,54.78,54.36,10
55,900.0,3,122644,277836,91,22.3,7,55.24,54.6,54.3,12
56,900.0,3,16787,37522,107,31.0,10,54.56,54.76,55.12,2
57,900.0,3,1339,453,106,23.4,4,53.7,54.16,55.07,3
58,900.0,3,122587,6363,94,12.6,1,56.31,54.95,54.47,9
59,650.0,3,152588,272417,97,10.4,5,56.47,57.21,55.76,3
60,650.0,3,102032,1709,95,4.1,1,59.19,58.29,55.62,4
61,650.0,3,137099,272182,103,0.5,3,59.16,58.27,56.03,1
62,650.0,3,502,94,76,7.7,4,58.26,57.57,54.68,5
63,650.0,3,3752,26392,103,7.3,2,58.62,58.01,56.02,2
64,650.0,3,1813,18447,71,28.7,6,55.39,56.33,54.4,6
65,800.0,4,123440,778,77,9.8,7,57.72,56.52,54.05,10
66,800.0,3,122644,252990,82,5.9,10,57.02,56.01,54.28,6
67,800.0,3,114312,38601,79,26.7,8,56.98,55.73,54.16,9
68,800.0,3,74725,518,71,26.1,12,53.1,54.58,53.74,11
69,800.0,3,137099,137497,89,6.6,4,57.19,56.09,54.65,1
70,800.0,3,153873,531,83,5.8,3,56.42,55.65,54.32,5
71,800.0,3,502,804,80,36.2,5,56.25,55.54,54.2,8
72,800.0,3,160773,153785,83,70.6,9,53.8,54.24,54.35,3
73,800.0,3,1811,588,81,10.6,1,56.46,55.29,54.24,7
74,800.0,3,142413,218233,57,101.6,2,56.63,55.75,53.06,12
75,800.0,4,122587,6363,89,5.3,11,55.02,55.27,54.64,2
76,800.0,3,152588,115616,83,2.2,6,56.07,55.56,54.34,4
