,distance,age,jockey,trainer,speed_rating,odds,pp_start,speed1,speed2,speedf,pp_finish
0,550.0,2,114312,7364,39,4.0,5,58.02,55.75,53.09,6
1,550.0,2,135108,1709,43,12.5,6,56.4,55.15,53.28,4
2,550.0,2,123440,261904,75,2.3,2,59.46,56.6,54.85,1
3,550.0,2,122587,6363,39,1.8,4,57.84,55.57,53.1,5
4,550.0,2,3752,214647,59,25.1,3,58.74,56.26,54.06,3
5,550.0,2,122644,1709,62,3.5,1,58.2,56.0,54.21,2
6,650.0,3,122587,233841,67,9.8,8,56.94,56.31,53.52,7
7,650.0,3,117931,1162,72,13.3,2,57.71,57.0,53.77,6
8,650.0,5,162748,835,82,8.9,1,57.5,57.02,54.24,1
9,650.0,3,160773,958040,62,80.2,6,56.9,56.22,53.23,8
10,650.0,3,1452,240902,76,4.8,4,58.1,57.28,53.92,4
11,650.0,4,114312,26392,72,1.4,5,57.46,56.92,53.77,5
12,650.0,5,163211,3794,82,5.6,7,57.68,57.3,54.23,2
13,650.0,3,74725,38601,78,4.7,3,58.06,57.32,54.05,3
14,500.0,4,74725,1257,90,3.9,3,56.86,57.72,57.45,4
15,500.0,5,1811,2194,87,21.2,10,54.67,56.52,57.29,8
16,500.0,4,142413,6363,90,5.3,5,56.3,57.43,57.46,3
17,500.0,5,163211,298,90,18.4,9,55.54,56.96,57.43,5
18,500.0,4,122644,1032,79,13.6,12,55.19,56.7,56.9,11
19,500.0,3,16787,37522,83,9.8,7,56.34,57.42,57.08,10
20,500.0,4,102032,218233,83,20.0,11,55.57,56.98,57.08,9
21,500.0,4,1339,164120,89,7.5,6,55.92,57.15,57.41,6
22,500.0,5,135108,46079,76,37.0,8,56.27,57.33,56.74,12
23,500.0,5,102369,277836,88,3.7,4,57.42,58.0,57.34,7
24,500.0,3,152588,1257,94,23.5,1,56.69,57.7,57.67,1
25,500.0,4,137099,6363,91,7.0,2,57.38,57.98,57.53,2
26,700.0,3,163211,946559,36,57.7,9,55.53,55.25,51.85,9
27,700.0,3,120035,247560,54,22.9,4,58.6,57.46,52.72,8
28,700.0,4,99161,958040,60,40.7,1,59.03,57.76,53.03,7
29,700.0,3,142413,94,64,6.1,5,57.85,57.44,53.21,5
30,700.0,4,153873,37522,64,5.1,8,58.57,57.48,53.21,6
31,700.0,4,137099,218233,67,3.6,2,59.0,57.74,53.36,4
32,700.0,4,74725,1257,84,1.0,3,58.96,57.65,54.18,1
33,700.0,5,135108,1828,69,14.4,7,57.5,57.18,53.48,3
34,700.0,3,122587,233841,75,38.6,6,56.78,56.83,53.78,2
35,550.0,3,122644,1709,61,16.6,7,60.09,57.39,54.22,12
36,550.0,3,16787,1257,79,9.7,9,60.27,57.4,55.14,5
37,550.0,3,161943,830,75,83.8,11,58.34,56.31,54.96,7
38,550.0,3,163211,1078,66,4.5,10,57.79,56.03,54.47,10
39,550.0,3,132248,243304,75,47.3,3,59.47,57.13,54.93,8
40,550.0,3,162748,1626,64,7.9,12,57.75,56.13,54.41,11
41,550.0,3,137099,6363,76,3.9,8,57.57,56.05,54.99,6
42,550.0,3,17432,2194,85,6.8,6,58.16,56.57,55.43,2
43,550.0,3,99161,2161,85,8.9,5,59.51,57.3,55.47,1
44,550.0,3,1452,257611,69,8.1,1,59.54,57.04,54.63,9
45,550.0,3,160005,6363,84,7.9,2,59.11,57.0,55.42,3
46,550.0,3,160773,241686,84,17.0,4,59.07,57.02,55.42,4
47,900.0,3,123440,3462,103,8.7,6,52.5,53.83,54.92,5
