,distance,age,jockey,trainer,speed_rating,odds,pp_start,speed1,speed2,speedf,pp_finish
0,800.0,6,120035,960141,87,21.7,4,54.62,54.7,52.85,6
1,800.0,6,3752,298,102,3.3,6,54.11,54.19,53.56,3
2,800.0,9,9631,281232,98,6.0,3,56.51,55.56,53.35,4
3,800.0,4,74725,1626,91,3.6,1,56.34,55.54,53.05,5
4,800.0,6,137099,6363,106,2.5,2,55.99,55.37,53.77,1
5,800.0,8,122587,835,106,2.6,5,55.31,55.12,53.76,2
6,650.0,5,160773,1236,87,51.9,12,54.96,55.58,54.55,4
7,650.0,5,135108,247560,78,25.1,11,56.24,55.92,54.06,9
8,650.0,4,161943,1902,75,13.8,4,57.71,56.46,53.94,10
9,650.0,8,1811,240902,82,4.5,1,59.03,57.37,54.27,6
10,650.0,5,74725,224590,78,7.3,6,58.28,57.18,54.09,8
11,650.0,4,123440,190204,88,5.1,3,57.89,56.74,54.57,3
12,650.0,6,113484,1271,65,15.0,5,57.35,56.55,53.42,12
13,650.0,5,160005,804,80,3.4,9,58.32,57.09,54.16,7
14,650.0,4,114312,11761,67,61.1,7,57.92,56.72,53.53,11
15,650.0,5,99161,958826,97,7.0,2,57.32,57.19,55.01,1
16,650.0,6,163211,38601,83,7.4,10,55.49,56.01,54.32,5
17,650.0,4,132248,216647,94,18.8,8,55.53,56.03,54.91,2
18,500.0,3,160005,218233,81,35.1,5,56.07,56.09,56.6,8
19,500.0,3,163211,2208,75,17.3,12,55.72,56.07,56.3,10
20,500.0,3,122587,6363,98,1.8,2,57.97,57.43,57.5,1
21,500.0,6,135108,2208,94,27.3,8,56.25,56.8,57.29,3
22,500.0,3,102032,6363,97,6.8,3,57.16,56.99,57.43,2
23,500.0,4,137099,218233,87,2.8,7,57.94,57.25,56.94,4
24,500.0,5,102369,18876,81,36.3,9,57.76,57.17,56.58,9
25,500.0,3,74725,7364,83,9.8,11,54.67,55.72,56.73,7
26,500.0,3,161943,18876,52,76.1,6,57.73,56.63,55.09,12
27,500.0,3,1452,260,85,10.6,4,57.13,56.98,56.83,5
28,500.0,5,160773,19640,84,13.2,10,56.78,56.44,56.76,6
29,500.0,4,3752,11761,54,24.6,1,57.69,56.61,55.19,11
30,550.0,4,117931,830,70,19.5,10,56.82,55.73,54.65,5
31,550.0,4,162748,6363,78,3.4,6,57.96,56.35,55.04,2
32,550.0,3,1452,257611,71,8.2,1,57.93,56.16,54.71,4
33,550.0,4,123440,261904,59,11.5,7,58.93,56.62,54.06,8
34,550.0,3,74725,1257,48,4.3,2,58.86,56.61,53.53,11
35,550.0,3,113484,1271,50,53.2,11,53.07,53.58,53.62,10
36,550.0,4,163211,3794,75,3.4,4,57.75,56.18,54.9,3
37,550.0,4,102032,622,67,15.8,5,58.89,56.73,54.49,7
38,550.0,3,135108,1828,67,27.6,8,56.64,55.56,54.49,6
39,550.0,3,3752,11761,58,13.9,9,56.86,55.3,54.05,9
40,550.0,3,160005,804,86,6.5,3,58.32,56.71,55.45,1
41,850.0,3,122644,531,86,54.8,9,51.05,51.12,53.53,3
42,850.0,3,102032,6363,87,2.9,6,51.62,51.37,53.56,2
43,850.0,3,162748,1257,81,8.0,11,50.39,50.79,53.27,8
44,850.0,3,16787,38392,83,17.1,3,51.08,50.95,53.35,6
45,850.0,3,137099,94,81,4.7,5,52.09,51.62,53.26,9
46,850.0,3,135108,277836,86,6.7,10,51.43,51.2,53.5,4
47,850.0,3,153873,199159,80,41.0,4,51.11,51.36,53.24,10
48,850.0,3,1339,3794,83,3.0,7,50.86,51.04,53.39,5
49,850.0,3,1770,137497,78,8.3,8,50.89,51.03,53.14,11
50,850.0,3,74725,12068,87,36.3,1,51.78,51.54,53.57,1
51,850.0,3,502,804,81,23.7,2,51.59,51.53,53.3,7
52,500.0,2,163211,3794,50,31.6,5,57.18,55.84,54.31,8
53,500.0,2,135108,1709,52,18.8,9,56.47,55.41,54.42,7
54,500.0,2,1452,197412,62,9.8,4,58.2,56.54,54.93,4
55,500.0,2,74725,2185,41,10.1,10,56.65,55.67,53.87,10
56,500.0,2,102032,6363,60,3.0,6,57.6,56.27,54.85,6
57,500.0,2,114312,26392,47,13.9,8,57.53,56.1,54.17,9
58,500.0,2,161943,1902,64,33.7,1,58.17,56.56,55.07,3
59,500.0,2,3752,1710,69,5.0,2,58.13,56.66,55.3,2
60,500.0,2,122644,963516,83,1.7,7,57.95,56.65,56.02,1
61,500.0,2,99161,118836,62,19.3,3,57.57,56.29,54.92,5
62,850.0,4,137099,1150,108,2.4,6,55.29,55.31,55.13,6
63,850.0,6,16787,37522,105,13.1,10,50.17,52.61,54.99,10
64,850.0,4,502,94,106,3.4,7,52.73,53.62,55.03,9
65,850.0,5,102032,6363,107,15.6,8,51.02,52.69,55.09,7
66,850.0,4,152588,1493,110,5.1,1,54.44,55.06,55.25,4
67,850.0,4,135108,277836,109,13.9,5,53.41,54.13,55.19,5
68,850.0,4,1811,38392,112,28.8,2,54.78,54.63,55.35,2
69,850.0,6,15722,137497,106,37.8,9,51.88,53.28,55.05,8
70,850.0,5,1339,94,111,7.2,4,54.27,54.46,55.27,3
71,850.0,4,102369,298,115,6.7,3,56.31,55.73,55.49,1
72,550.0,2,114312,7364,42,19.7,9,56.9,55.09,53.17,7
73,550.0,2,162748,835,70,2.3,7,58.72,56.34,54.56,2
74,550.0,2,502,15262,73,1.9,3,58.15,55.98,54.72,1
75,550.0,2,1339,149624,48,3.9,5,58.68,56.17,53.45,6
76,550.0,2,160773,2216,23,47.3,6,57.44,55.3,52.25,10
77,550.0,2,120035,2208,34,28.3,10,54.7,54.05,52.75,9
78,550.0,2,99161,19640,36,36.2,8,56.87,55.07,52.87,8
79,550.0,2,3752,1739,53,15.7,4,56.83,55.13,53.69,4
80,550.0,2,74725,38601,59,7.4,1,58.51,56.15,54.02,3
81,550.0,2,113484,15262,51,31.6,2,57.26,55.11,53.63,5
