distance,track,age,jockey,trainer,speed_rating,odds,pp_start,speed1,speed2,speedf,pp_finish,winloss
800.0,1,4,74725,3794,86,6.4,4,56.82,55.47,52.64,3,1
800.0,1,4,163211,252990,96,2.2,5,56.86,55.74,53.15,1,1
800.0,1,4,160005,804,70,36.5,3,57.77,55.48,51.9,6,0
800.0,1,4,3752,1257,95,3.5,1,57.07,55.75,53.11,2,1
800.0,1,3,102032,6363,78,12.2,2,57.59,55.57,52.26,5,0
800.0,1,5,1452,199159,56,5.7,6,57.95,55.84,51.21,8,0
850.0,0,3,117931,272182,102,14.1,7,52.87,53.94,54.43,1,1
850.0,0,4,122644,830,91,44.9,6,53.93,53.96,53.86,8,0
850.0,0,3,74725,3462,100,3.6,10,53.96,54.22,54.32,2,1
850.0,0,3,152588,137497,83,27.7,2,53.9,54.21,53.5,11,0
850.0,0,3,137099,1150,98,3.0,3,54.46,54.24,54.21,5,0
850.0,0,4,16787,252990,94,7.9,12,51.54,52.38,54.04,6,0
850.0,0,3,502,15262,99,8.1,1,54.79,54.49,54.27,4,0
850.0,0,3,160005,1150,88,24.4,5,54.63,54.41,53.74,9,0
850.0,0,4,1811,1162,93,14.0,11,52.04,52.71,53.98,7,0
850.0,0,3,163211,835,78,18.2,4,53.57,53.61,53.24,12,0
850.0,0,4,102032,83,99,3.8,8,52.9,53.28,54.28,3,1
850.0,0,3,132248,233841,87,92.3,9,52.54,52.95,53.67,10,0
550.0,1,2,114312,7364,39,4.0,5,58.02,55.75,53.09,6,0
550.0,1,2,135108,1709,43,12.5,6,56.4,55.15,53.28,4,0
550.0,1,2,123440,261904,75,2.3,2,59.46,56.6,54.85,1,1
550.0,1,2,122587,6363,39,1.8,4,57.84,55.57,53.1,5,0
550.0,1,2,3752,214647,59,25.1,3,58.74,56.26,54.06,3,1
550.0,1,2,122644,1709,62,3.5,1,58.2,56.0,54.21,2,1
650.0,1,3,122587,233841,67,9.8,8,56.94,56.31,53.52,7,0
650.0,1,3,117931,1162,72,13.3,2,57.71,57.0,53.77,6,0
650.0,1,5,162748,835,82,8.9,1,57.5,57.02,54.24,1,1
650.0,1,3,160773,958040,62,80.2,6,56.9,56.22,53.23,8,0
650.0,1,3,1452,240902,76,4.8,4,58.1,57.28,53.92,4,0
650.0,1,4,114312,26392,72,1.4,5,57.46,56.92,53.77,5,0
650.0,1,5,163211,3794,82,5.6,7,57.68,57.3,54.23,2,1
650.0,1,3,74725,38601,78,4.7,3,58.06,57.32,54.05,3,1
500.0,0,4,74725,1257,90,3.9,3,56.86,57.72,57.45,4,0
500.0,0,5,1811,2194,87,21.2,10,54.67,56.52,57.29,8,0
500.0,0,4,142413,6363,90,5.3,5,56.3,57.43,57.46,3,1
500.0,0,5,163211,298,90,18.4,9,55.54,56.96,57.43,5,0
500.0,0,4,122644,1032,79,13.6,12,55.19,56.7,56.9,11,0
500.0,0,3,16787,37522,83,9.8,7,56.34,57.42,57.08,10,0
500.0,0,4,102032,218233,83,20.0,11,55.57,56.98,57.08,9,0
500.0,0,4,1339,164120,89,7.5,6,55.92,57.15,57.41,6,0
500.0,0,5,135108,46079,76,37.0,8,56.27,57.33,56.74,12,0
500.0,0,5,102369,277836,88,3.7,4,57.42,58.0,57.34,7,0
500.0,0,3,152588,1257,94,23.5,1,56.69,57.7,57.67,1,1
500.0,0,4,137099,6363,91,7.0,2,57.38,57.98,57.53,2,1
700.0,1,3,163211,946559,36,57.7,9,55.53,55.25,51.85,9,0
700.0,1,3,120035,247560,54,22.9,4,58.6,57.46,52.72,8,0
700.0,1,4,99161,958040,60,40.7,1,59.03,57.76,53.03,7,0
700.0,1,3,142413,94,64,6.1,5,57.85,57.44,53.21,5,0
700.0,1,4,153873,37522,64,5.1,8,58.57,57.48,53.21,6,0
700.0,1,4,137099,218233,67,3.6,2,59.0,57.74,53.36,4,0
700.0,1,4,74725,1257,84,1.0,3,58.96,57.65,54.18,1,1
700.0,1,5,135108,1828,69,14.4,7,57.5,57.18,53.48,3,1
700.0,1,3,122587,233841,75,38.6,6,56.78,56.83,53.78,2,1
550.0,1,3,122644,1709,61,16.6,7,60.09,57.39,54.22,12,0
550.0,1,3,16787,1257,79,9.7,9,60.27,57.4,55.14,5,0
550.0,1,3,161943,830,75,83.8,11,58.34,56.31,54.96,7,0
550.0,1,3,163211,1078,66,4.5,10,57.79,56.03,54.47,10,0
550.0,1,3,132248,243304,75,47.3,3,59.47,57.13,54.93,8,0
550.0,1,3,162748,1626,64,7.9,12,57.75,56.13,54.41,11,0
550.0,1,3,137099,6363,76,3.9,8,57.57,56.05,54.99,6,0
550.0,1,3,17432,2194,85,6.8,6,58.16,56.57,55.43,2,1
550.0,1,3,99161,2161,85,8.9,5,59.51,57.3,55.47,1,1
550.0,1,3,1452,257611,69,8.1,1,59.54,57.04,54.63,9,0
550.0,1,3,160005,6363,84,7.9,2,59.11,57.0,55.42,3,1
550.0,1,3,160773,241686,84,17.0,4,59.07,57.02,55.42,4,0
900.0,0,3,123440,3462,103,8.7,6,52.5,53.83,54.92,5,0
900.0,0,3,135108,489,108,2.8,9,55.42,55.05,55.2,1,1
900.0,0,3,102369,233841,91,67.1,3,56.65,54.96,54.31,11,0
900.0,0,3,502,277836,105,3.6,11,54.04,54.41,55.03,4,0
900.0,0,3,142413,3462,101,47.8,12,53.18,53.81,54.84,6,0
900.0,0,3,137099,272182,97,2.2,2,54.39,54.43,54.64,8,0
900.0,0,3,163211,835,100,23.4,5,54.21,54.33,54.75,7,0
900.0,0,3,3752,281368,92,28.5,8,55.45,54.78,54.36,10,0
900.0,0,3,122644,277836,91,22.3,7,55.24,54.6,54.3,12,0
900.0,0,3,16787,37522,107,31.0,10,54.56,54.76,55.12,2,1
900.0,0,3,1339,453,106,23.4,4,53.7,54.16,55.07,3,1
900.0,0,3,122587,6363,94,12.6,1,56.31,54.95,54.47,9,0
650.0,1,3,152588,272417,97,10.4,5,56.47,57.21,55.76,3,1
650.0,1,3,102032,1709,95,4.1,1,59.19,58.29,55.62,4,0
650.0,1,3,137099,272182,103,0.5,3,59.16,58.27,56.03,1,1
650.0,1,3,502,94,76,7.7,4,58.26,57.57,54.68,5,0
650.0,1,3,3752,26392,103,7.3,2,58.62,58.01,56.02,2,1
650.0,1,3,1813,18447,71,28.7,6,55.39,56.33,54.4,6,0
800.0,0,4,123440,778,77,9.8,7,57.72,56.52,54.05,10,0
800.0,0,3,122644,252990,82,5.9,10,57.02,56.01,54.28,6,0
800.0,0,3,114312,38601,79,26.7,8,56.98,55.73,54.16,9,0
800.0,0,3,74725,518,71,26.1,12,53.1,54.58,53.74,11,0
800.0,0,3,137099,137497,89,6.6,4,57.19,56.09,54.65,1,1
800.0,0,3,153873,531,83,5.8,3,56.42,55.65,54.32,5,0
800.0,0,3,502,804,80,36.2,5,56.25,55.54,54.2,8,0
800.0,0,3,160773,153785,83,70.6,9,53.8,54.24,54.35,3,1
800.0,0,3,1811,588,81,10.6,1,56.46,55.29,54.24,7,0
800.0,0,3,142413,218233,57,101.6,2,56.63,55.75,53.06,12,0
800.0,0,4,122587,6363,89,5.3,11,55.02,55.27,54.64,2,1
800.0,0,3,152588,115616,83,2.2,6,56.07,55.56,54.34,4,0
800.0,1,6,120035,960141,87,21.7,4,54.62,54.7,52.85,6,0
800.0,1,6,3752,298,102,3.3,6,54.11,54.19,53.56,3,1
800.0,1,9,9631,281232,98,6.0,3,56.51,55.56,53.35,4,0
800.0,1,4,74725,1626,91,3.6,1,56.34,55.54,53.05,5,0
800.0,1,6,137099,6363,106,2.5,2,55.99,55.37,53.77,1,1
800.0,1,8,122587,835,106,2.6,5,55.31,55.12,53.76,2,1
650.0,1,5,160773,1236,87,51.9,12,54.96,55.58,54.55,4,0
650.0,1,5,135108,247560,78,25.1,11,56.24,55.92,54.06,9,0
650.0,1,4,161943,1902,75,13.8,4,57.71,56.46,53.94,10,0
650.0,1,8,1811,240902,82,4.5,1,59.03,57.37,54.27,6,0
650.0,1,5,74725,224590,78,7.3,6,58.28,57.18,54.09,8,0
650.0,1,4,123440,190204,88,5.1,3,57.89,56.74,54.57,3,1
650.0,1,6,113484,1271,65,15.0,5,57.35,56.55,53.42,12,0
650.0,1,5,160005,804,80,3.4,9,58.32,57.09,54.16,7,0
650.0,1,4,114312,11761,67,61.1,7,57.92,56.72,53.53,11,0
650.0,1,5,99161,958826,97,7.0,2,57.32,57.19,55.01,1,1
650.0,1,6,163211,38601,83,7.4,10,55.49,56.01,54.32,5,0
650.0,1,4,132248,216647,94,18.8,8,55.53,56.03,54.91,2,1
500.0,0,3,160005,218233,81,35.1,5,56.07,56.09,56.6,8,0
500.0,0,3,163211,2208,75,17.3,12,55.72,56.07,56.3,10,0
500.0,0,3,122587,6363,98,1.8,2,57.97,57.43,57.5,1,1
500.0,0,6,135108,2208,94,27.3,8,56.25,56.8,57.29,3,1
500.0,0,3,102032,6363,97,6.8,3,57.16,56.99,57.43,2,1
500.0,0,4,137099,218233,87,2.8,7,57.94,57.25,56.94,4,0
500.0,0,5,102369,18876,81,36.3,9,57.76,57.17,56.58,9,0
500.0,0,3,74725,7364,83,9.8,11,54.67,55.72,56.73,7,0
500.0,0,3,161943,18876,52,76.1,6,57.73,56.63,55.09,12,0
500.0,0,3,1452,260,85,10.6,4,57.13,56.98,56.83,5,0
500.0,0,5,160773,19640,84,13.2,10,56.78,56.44,56.76,6,0
500.0,0,4,3752,11761,54,24.6,1,57.69,56.61,55.19,11,0
550.0,1,4,117931,830,70,19.5,10,56.82,55.73,54.65,5,0
550.0,1,4,162748,6363,78,3.4,6,57.96,56.35,55.04,2,1
550.0,1,3,1452,257611,71,8.2,1,57.93,56.16,54.71,4,0
550.0,1,4,123440,261904,59,11.5,7,58.93,56.62,54.06,8,0
550.0,1,3,74725,1257,48,4.3,2,58.86,56.61,53.53,11,0
550.0,1,3,113484,1271,50,53.2,11,53.07,53.58,53.62,10,0
550.0,1,4,163211,3794,75,3.4,4,57.75,56.18,54.9,3,1
550.0,1,4,102032,622,67,15.8,5,58.89,56.73,54.49,7,0
550.0,1,3,135108,1828,67,27.6,8,56.64,55.56,54.49,6,0
550.0,1,3,3752,11761,58,13.9,9,56.86,55.3,54.05,9,0
550.0,1,3,160005,804,86,6.5,3,58.32,56.71,55.45,1,1
850.0,0,3,122644,531,86,54.8,9,51.05,51.12,53.53,3,1
850.0,0,3,102032,6363,87,2.9,6,51.62,51.37,53.56,2,1
850.0,0,3,162748,1257,81,8.0,11,50.39,50.79,53.27,8,0
850.0,0,3,16787,38392,83,17.1,3,51.08,50.95,53.35,6,0
850.0,0,3,137099,94,81,4.7,5,52.09,51.62,53.26,9,0
850.0,0,3,135108,277836,86,6.7,10,51.43,51.2,53.5,4,0
850.0,0,3,153873,199159,80,41.0,4,51.11,51.36,53.24,10,0
850.0,0,3,1339,3794,83,3.0,7,50.86,51.04,53.39,5,0
850.0,0,3,1770,137497,78,8.3,8,50.89,51.03,53.14,11,0
850.0,0,3,74725,12068,87,36.3,1,51.78,51.54,53.57,1,1
850.0,0,3,502,804,81,23.7,2,51.59,51.53,53.3,7,0
500.0,1,2,163211,3794,50,31.6,5,57.18,55.84,54.31,8,0
500.0,1,2,135108,1709,52,18.8,9,56.47,55.41,54.42,7,0
500.0,1,2,1452,197412,62,9.8,4,58.2,56.54,54.93,4,0
500.0,1,2,74725,2185,41,10.1,10,56.65,55.67,53.87,10,0
500.0,1,2,102032,6363,60,3.0,6,57.6,56.27,54.85,6,0
500.0,1,2,114312,26392,47,13.9,8,57.53,56.1,54.17,9,0
500.0,1,2,161943,1902,64,33.7,1,58.17,56.56,55.07,3,1
500.0,1,2,3752,1710,69,5.0,2,58.13,56.66,55.3,2,1
500.0,1,2,122644,963516,83,1.7,7,57.95,56.65,56.02,1,1
500.0,1,2,99161,118836,62,19.3,3,57.57,56.29,54.92,5,0
850.0,0,4,137099,1150,108,2.4,6,55.29,55.31,55.13,6,0
850.0,0,6,16787,37522,105,13.1,10,50.17,52.61,54.99,10,0
850.0,0,4,502,94,106,3.4,7,52.73,53.62,55.03,9,0
850.0,0,5,102032,6363,107,15.6,8,51.02,52.69,55.09,7,0
850.0,0,4,152588,1493,110,5.1,1,54.44,55.06,55.25,4,0
850.0,0,4,135108,277836,109,13.9,5,53.41,54.13,55.19,5,0
850.0,0,4,1811,38392,112,28.8,2,54.78,54.63,55.35,2,1
850.0,0,6,15722,137497,106,37.8,9,51.88,53.28,55.05,8,0
850.0,0,5,1339,94,111,7.2,4,54.27,54.46,55.27,3,1
850.0,0,4,102369,298,115,6.7,3,56.31,55.73,55.49,1,1
550.0,1,2,114312,7364,42,19.7,9,56.9,55.09,53.17,7,0
550.0,1,2,162748,835,70,2.3,7,58.72,56.34,54.56,2,1
550.0,1,2,502,15262,73,1.9,3,58.15,55.98,54.72,1,1
550.0,1,2,1339,149624,48,3.9,5,58.68,56.17,53.45,6,0
550.0,1,2,160773,2216,23,47.3,6,57.44,55.3,52.25,10,0
550.0,1,2,120035,2208,34,28.3,10,54.7,54.05,52.75,9,0
550.0,1,2,99161,19640,36,36.2,8,56.87,55.07,52.87,8,0
550.0,1,2,3752,1739,53,15.7,4,56.83,55.13,53.69,4,0
550.0,1,2,74725,38601,59,7.4,1,58.51,56.15,54.02,3,1
550.0,1,2,113484,15262,51,31.6,2,57.26,55.11,53.63,5,0
600.0,1,3,1811,2161,85,3.1,6,58.89,57.34,55.05,2,1
600.0,1,3,122644,1709,80,28.0,7,57.71,56.62,54.8,3,1
600.0,1,4,142413,953963,75,20.7,3,57.75,56.36,54.54,5,0
600.0,1,3,74725,3462,77,3.6,5,58.5,56.99,54.69,4,0
600.0,1,3,122587,531,65,7.4,2,58.46,56.73,54.07,6,0
600.0,1,4,135108,1828,49,14.2,1,58.93,56.64,53.23,7,0
600.0,1,3,163211,38601,94,1.1,4,58.86,57.35,55.53,1,1
650.0,1,4,160005,804,69,4.2,7,57.61,56.54,53.87,8,0
650.0,1,3,161943,135700,82,46.2,8,56.39,55.85,54.51,2,1
650.0,1,3,1339,149624,73,4.6,6,57.72,56.9,54.07,6,0
650.0,1,3,123440,954913,88,3.3,4,57.89,56.92,54.8,1,1
650.0,1,6,121108,2091,71,5.4,5,57.68,56.89,53.94,7,0
650.0,1,4,99161,1162,79,19.2,2,57.09,56.28,54.36,3,1
650.0,1,3,9631,2926,76,11.9,3,56.35,55.68,54.19,5,0
650.0,1,6,163211,197412,79,2.5,1,57.65,56.8,54.35,4,0
650.0,1,7,163211,947429,93,17.3,6,57.65,57.77,55.21,7,0
650.0,1,5,102032,199159,99,13.9,7,57.44,57.75,55.53,5,0
650.0,1,5,114312,1257,106,3.6,4,58.25,58.23,55.87,3,1
650.0,1,5,1452,257611,104,12.0,5,58.01,58.05,55.77,4,0
650.0,1,5,502,298,106,5.7,1,57.62,57.66,55.88,2,1
650.0,1,5,3752,1626,107,1.2,3,58.22,58.03,55.93,1,1
