,distance,age,jockey,trainer,speed_rating,odds,pp_start,speed1,speed2,speedf,pp_finish
0,600.0,3,161943,267241,69,96.3,6,57.46,56.42,54.25,7
1,600.0,3,74725,518,86,35.8,7,55.3,55.81,55.1,4
2,600.0,3,122644,83,101,0.5,4,59.1,57.3,55.89,2
3,600.0,3,114312,26392,102,2.9,1,58.53,57.03,55.95,1
4,600.0,4,135108,3794,83,13.1,5,58.92,57.11,54.95,6
5,600.0,3,117931,83,85,22.1,3,58.89,56.77,55.04,5
6,600.0,4,102032,277836,91,5.8,2,59.14,57.29,55.35,3
7,800.0,6,502,5467,105,6.9,4,56.14,56.1,55.75,6
8,800.0,6,1452,257611,103,3.7,2,58.15,57.16,55.66,7
9,800.0,4,137099,12068,105,5.7,1,57.59,56.81,55.77,4
10,800.0,6,114312,26392,106,27.8,3,56.17,56.45,55.81,3
11,800.0,5,99161,19640,103,72.1,6,56.7,56.73,55.65,8
12,800.0,6,74725,1626,105,1.4,5,58.33,57.53,55.76,5
13,800.0,4,3752,281368,106,10.3,8,58.12,57.51,55.82,2
14,800.0,6,135108,5467,110,5.4,7,56.88,56.71,55.99,1
15,700.0,3,122644,38601,62,4.5,2,58.31,57.83,53.3,6
16,700.0,3,137099,94,82,5.6,3,57.88,57.74,54.27,5
17,700.0,3,162748,1257,83,1.2,5,58.48,58.11,54.34,4
18,700.0,3,102032,3794,60,12.4,6,57.35,57.2,53.2,7
19,700.0,3,135108,277836,89,9.5,7,57.53,57.72,54.65,2
20,700.0,3,163211,835,90,4.4,1,58.27,58.09,54.7,1
21,700.0,3,502,15262,85,20.6,4,57.92,57.92,54.44,3
22,500.0,4,502,240902,93,5.1,7,58.36,57.97,57.86,5
23,500.0,4,137099,272417,97,3.7,11,57.93,57.69,58.04,2
24,500.0,5,153873,1626,94,5.6,2,58.87,58.24,57.9,4
25,500.0,3,122644,38601,74,3.2,8,59.23,58.52,56.86,12
26,500.0,5,102369,23603,85,33.8,10,58.4,57.51,57.43,8
27,500.0,4,1811,2091,85,55.6,6,58.29,57.79,57.43,7
28,500.0,3,1452,1032,90,6.4,5,58.79,58.26,57.69,6
29,500.0,3,74725,137,85,26.6,4,57.39,57.33,57.42,9
30,500.0,3,160005,1257,81,10.8,3,58.33,57.7,57.21,10
31,500.0,4,3752,1710,78,47.4,12,58.43,58.06,57.04,11
32,500.0,4,163211,1626,98,74.0,1,59.41,58.72,58.11,1
33,500.0,4,152588,252990,95,10.0,9,58.83,58.54,57.97,3
34,500.0,2,163211,298,50,14.2,9,55.31,53.73,53.5,7
35,500.0,2,123440,190204,0,37.8,8,56.55,53.98,50.36,10
36,500.0,2,153873,2195,74,2.5,1,58.37,55.44,54.66,1
37,500.0,2,160773,2216,8,29.9,10,54.24,52.88,51.38,9
38,500.0,2,117931,958826,54,6.3,7,57.66,54.83,53.7,6
39,500.0,2,135108,1709,42,8.8,2,58.73,55.27,53.07,8
40,500.0,2,99161,21586,61,6.3,3,58.8,55.86,54.03,5
