,distance,age,jockey,trainer,speed_rating,odds,pp_start,speed1,speed2,speedf,pp_finish
41,500.0,2,114312,243304,64,33.9,5,58.76,55.78,54.2,4
42,500.0,2,17432,94,67,4.9,4,57.62,55.25,54.33,3
43,500.0,2,161943,1392,68,3.8,6,56.91,54.91,54.36,2
44,800.0,5,160005,120430,101,61.6,6,56.64,56.86,55.59,10
45,800.0,7,17432,624,99,35.5,9,56.67,57.03,55.49,11
46,800.0,4,74725,1626,110,19.0,4,57.78,57.47,56.06,7
47,800.0,4,502,247740,109,13.9,10,55.16,55.98,56.0,8
48,800.0,5,135108,277836,112,5.1,7,55.74,56.42,56.19,6
49,800.0,4,113484,281232,106,23.4,3,59.04,57.64,55.87,9
50,800.0,4,102032,239418,113,3.9,12,53.73,55.1,56.24,4
51,800.0,4,152588,835,113,6.2,11,54.63,55.89,56.23,5
52,800.0,6,122644,1257,81,2.9,2,59.22,57.82,54.59,12
53,800.0,6,1339,804,115,10.4,8,55.2,56.24,56.31,3
54,800.0,4,1811,272417,116,29.4,5,56.1,56.77,56.4,1
55,800.0,5,137099,1150,116,8.4,1,57.75,57.21,56.4,2
56,600.0,2,1811,2161,55,24.1,2,59.57,57.03,53.52,4
57,600.0,2,152588,83,102,0.6,1,59.39,57.29,55.95,1
58,600.0,2,153873,2195,45,53.3,6,53.61,53.99,53.01,5
59,600.0,2,102032,2161,44,18.2,3,58.84,56.6,52.95,6
60,600.0,2,163211,252990,77,6.5,4,58.66,57.12,54.67,3
61,600.0,2,137099,1150,88,2.0,5,57.94,56.86,55.21,2
62,900.0,4,85790,951459,118,8.0,6,54.91,54.9,55.74,7
63,900.0,5,102032,94,120,12.4,10,52.68,53.96,55.8,6
64,900.0,4,1339,277836,122,8.2,3,54.03,54.46,55.92,4
65,900.0,4,1811,38601,123,3.1,8,55.41,55.24,55.98,2
66,900.0,5,152588,1626,124,21.0,5,54.06,54.55,56.0,1
67,900.0,6,137099,277836,112,3.3,2,54.4,54.8,55.4,10
68,900.0,4,1452,1257,120,15.3,1,55.07,55.15,55.8,5
69,900.0,6,74725,3462,113,4.8,4,54.57,54.88,55.47,9
70,900.0,5,502,37522,123,9.7,7,55.58,55.4,55.97,3
71,900.0,4,122644,277836,116,20.6,9,52.51,53.71,55.61,8
72,800.0,4,9631,250678,72,5.2,7,55.12,54.3,52.21,7
73,800.0,6,135108,1032,43,11.9,6,54.14,54.12,50.81,9
74,800.0,5,113484,298,75,9.7,4,55.63,54.61,52.37,5
75,800.0,6,3752,281232,81,5.5,2,54.21,54.13,52.66,2
76,800.0,5,160005,2208,77,5.7,1,55.09,54.6,52.44,4
77,800.0,7,162748,199159,87,2.0,8,54.92,54.58,52.93,1
78,800.0,7,114312,41604,67,27.9,5,54.18,54.1,51.96,8
79,800.0,6,163211,298,77,6.2,3,54.88,54.56,52.45,3
80,800.0,4,160773,19640,73,19.0,9,54.72,54.55,52.25,6
