distance,purse,track,age,odds,pp_start,j_starts,j_first,j_second,j_third,j_total_win_amt,j_win_perc,j_top_3,j_top_3_perc,t_starts,t_first,t_second,t_third,t_total_win_amt,t_win_perc,t_top_3,winloss
700.0,65000.0,1,4,37.3,8,63,9,6,5,314435,0.14,20,0.32,39,5,5,5,286355,0.13,0.38,0
700.0,65000.0,1,5,23.6,5,51,4,7,7,312568,0.08,18,0.35,17,1,1,1,41315,0.06,0.18,0
700.0,65000.0,1,4,5.9,7,13,4,2,0,349280,0.31,6,0.46,15,3,3,3,223670,0.2,0.6,0
700.0,65000.0,1,5,39.1,1,40,4,3,6,217807,0.1,13,0.33,13,1,2,1,29790,0.08,0.31,0
700.0,65000.0,1,4,0.5,2,31,2,5,5,270490,0.06,12,0.39,12,2,2,0,114515,0.17,0.33,1
700.0,65000.0,1,3,6.2,3,52,8,3,9,311237,0.15,20,0.38,4,1,0,1,44130,0.25,0.5,0
800.0,60000.0,0,2,2.0,2,42,10,3,5,683730,0.24,18,0.43,4,1,0,2,55224,0.25,0.75,1
800.0,60000.0,0,2,20.7,6,31,2,5,5,270490,0.06,12,0.39,4,0,1,0,7035,0.0,0.25,0
800.0,60000.0,0,2,27.7,9,7,0,0,1,11685,0.0,1,0.14,7,1,2,1,83195,0.14,0.57,0
800.0,60000.0,0,2,27.6,1,39,2,7,2,134480,0.05,11,0.28,4,0,0,0,1435,0.0,0.0,0
800.0,60000.0,0,2,11.8,4,35,4,3,2,137660,0.11,9,0.26,5,1,0,0,41130,0.2,0.2,0
800.0,60000.0,0,2,2.5,8,51,4,7,7,312568,0.08,18,0.35,39,5,5,5,286355,0.13,0.38,1
800.0,60000.0,0,2,29.4,10,37,6,4,2,150700,0.16,12,0.32,6,0,0,1,7080,0.0,0.17,0
800.0,60000.0,0,2,17.8,7,45,2,5,3,252680,0.04,10,0.22,10,0,0,2,16002,0.0,0.2,0
800.0,60000.0,0,2,6.9,5,59,7,8,8,562909,0.12,23,0.39,10,2,0,3,59820,0.2,0.5,1
800.0,60000.0,0,2,4.7,3,63,9,6,5,314435,0.14,20,0.32,10,2,0,3,59820,0.2,0.5,0
850.0,300000.0,1,4,18.8,5,40,2,7,9,346967,0.05,18,0.45,18,0,2,3,106055,0.0,0.28,1
850.0,300000.0,1,4,0.1,3,13,4,2,0,349280,0.31,6,0.46,39,10,8,1,555914,0.26,0.49,1
850.0,300000.0,1,4,8.2,1,42,10,3,5,683730,0.24,18,0.43,11,1,2,0,106815,0.09,0.27,1
850.0,300000.0,1,6,24.1,2,45,2,5,3,252680,0.04,10,0.22,24,5,1,1,449379,0.21,0.29,0
850.0,300000.0,1,4,7.1,4,59,7,8,8,562909,0.12,23,0.39,24,5,1,1,449379,0.21,0.29,0
600.0,60000.0,1,2,0.8,7,13,4,2,0,349280,0.31,6,0.46,15,3,3,3,223670,0.2,0.6,1
